stop_name,stop_id,published_line,bus_id,scheduled_arrival,predicted_arrival,actual_arrival,scheduled_delay_minutes,prediction_error_minutes,initial_distance,date,day_of_week,hour_of_day,timestamp
5 AV/9 ST,308204,B63,MTA NYCT_248,2025-04-18 07:47:57,2025-04-18 08:13:01,2025-04-18 07:55:27,25.0831,-17.5823,19 stops away,2025-04-18,Friday,7,2025-04-18 07:55:27
5 AV/UNION ST,308207,B63,MTA NYCT_381,2025-04-08 08:32:38,2025-04-08 08:59:38,2025-04-08 09:17:58,27.008,18.3396,Unknown,2025-04-08,Tuesday,8,2025-04-08 09:17:58
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6144,2025-04-14 16:51:55,2025-04-14 17:07:40,2025-04-14 16:48:01,15.7645,-19.6553,Unknown,2025-04-14,Monday,16,2025-04-14 16:48:01
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5511,2025-04-11 08:48:21,2025-04-11 09:27:14,2025-04-11 09:29:14,38.885,2.0015,13 stops away,2025-04-11,Friday,8,2025-04-11 09:29:14
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5528,2025-04-12 16:51:02,2025-04-12 17:00:02,2025-04-12 16:57:11,9.0142,-2.8609,18 stops away,2025-04-12,Saturday,16,2025-04-12 16:57:11
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6187,2025-04-15 09:40:39,2025-04-15 09:53:29,2025-04-15 09:28:49,12.8414,-24.663,12 stops away,2025-04-15,Tuesday,9,2025-04-15 09:28:49
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_431,2025-04-07 17:49:18,2025-04-07 18:11:08,2025-04-07 17:15:10,21.835,-55.9632,8 stops away,2025-04-07,Monday,17,2025-04-07 17:15:10
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6226,2025-04-14 17:23:10,2025-04-14 17:19:55,2025-04-14 16:53:10,-3.2427,-26.7509,7 stops away,2025-04-14,Monday,17,2025-04-14 16:53:10
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6157,2025-04-17 17:38:40,2025-04-17 17:44:30,2025-04-17 17:36:42,5.8364,-7.7977,8 stops away,2025-04-17,Thursday,17,2025-04-17 17:36:42
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5503,2025-04-11 23:40:44,2025-04-11 23:44:04,2025-04-11 22:58:56,3.3473,-45.1307,11 stops away,2025-04-11,Friday,23,2025-04-11 22:58:56
5 AV/9 ST,308204,B63,MTA NYCT_406,2025-04-19 12:17:04,2025-04-19 12:39:31,2025-04-19 12:20:03,22.458,-19.4746,19 stops away,2025-04-19,Saturday,12,2025-04-19 12:20:03
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6144,2025-04-17 14:56:58,2025-04-17 15:10:02,2025-04-17 14:24:38,13.074,-45.3998,5 stops away,2025-04-17,Thursday,14,2025-04-17 14:24:38
5 AV/UNION ST,308207,B63,MTA NYCT_771,2025-04-18 16:16:47,2025-04-18 16:28:35,2025-04-18 16:16:23,11.8091,-12.1942,19 stops away,2025-04-18,Friday,16,2025-04-18 16:16:23
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6144,2025-04-09 15:05:48,2025-04-09 15:08:30,2025-04-09 15:02:02,2.7166,-6.469,Unknown,2025-04-09,Wednesday,15,2025-04-09 15:02:02
5 AV/9 ST,308204,B63,MTA NYCT_403,2025-04-19 16:38:04,2025-04-19 16:45:24,2025-04-19 16:24:30,7.3419,-20.8999,20 stops away,2025-04-19,Saturday,16,2025-04-19 16:24:30
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6156,2025-04-20 21:43:46,2025-04-20 21:48:39,2025-04-20 22:14:06,4.8855,25.4589,18 stops away,2025-04-20,Sunday,21,2025-04-20 22:14:06
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6187,2025-04-11 13:29:00,2025-04-11 13:41:23,2025-04-11 13:03:55,12.3853,-37.4634,9 stops away,2025-04-11,Friday,13,2025-04-11 13:03:55
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_386,2025-04-08 19:19:53,2025-04-08 19:39:22,2025-04-08 18:58:23,19.4916,-40.9908,20 stops away,2025-04-08,Tuesday,19,2025-04-08 18:58:23
5 AV/9 ST,308204,B63,MTA NYCT_388,2025-04-19 11:49:59,2025-04-19 12:01:45,2025-04-19 11:04:47,11.7753,-56.9663,1 stops away,2025-04-19,Saturday,11,2025-04-19 11:04:47
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5519,2025-04-07 07:23:56,2025-04-07 07:25:44,2025-04-07 07:15:24,1.8156,-10.3359,10 stops away,2025-04-07,Monday,7,2025-04-07 07:15:24
5 AV/9 ST,308204,B63,MTA NYCT_771,2025-04-16 21:05:46,2025-04-16 21:24:32,2025-04-16 21:13:39,18.777,-10.8872,3 stops away,2025-04-16,Wednesday,21,2025-04-16 21:13:39
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_248,2025-04-17 14:35:10,2025-04-17 14:46:41,2025-04-17 14:25:34,11.517,-21.1034,20 stops away,2025-04-17,Thursday,14,2025-04-17 14:25:34
5 AV/UNION ST,308207,B63,MTA NYCT_471,2025-04-19 17:12:45,2025-04-19 17:08:53,2025-04-19 16:38:44,-3.8512,-30.1577,12 stops away,2025-04-19,Saturday,17,2025-04-19 16:38:44
5 AV/UNION ST,308207,M86-SBS,MTA NYCT_6187,2025-04-10 08:21:01,2025-04-10 08:33:53,2025-04-10 08:42:09,12.8769,8.2654,8 stops away,2025-04-10,Thursday,8,2025-04-10 08:42:09
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_381,2025-04-08 17:03:14,2025-04-08 17:26:21,2025-04-08 16:33:38,23.1311,-52.7146,Unknown,2025-04-08,Tuesday,17,2025-04-08 16:33:38
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6187,2025-04-15 08:42:31,2025-04-15 09:05:23,2025-04-15 08:42:28,22.8821,-22.9192,5 stops away,2025-04-15,Tuesday,8,2025-04-15 08:42:28
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_6144,2025-04-19 14:26:12,2025-04-19 14:30:26,2025-04-19 14:29:04,4.2462,-1.3664,Unknown,2025-04-19,Saturday,14,2025-04-19 14:29:04
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5511,2025-04-13 13:55:46,2025-04-13 14:14:31,2025-04-13 14:20:04,18.7635,5.5443,Unknown,2025-04-13,Sunday,13,2025-04-13 14:20:04
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_406,2025-04-13 17:51:55,2025-04-13 17:56:12,2025-04-13 17:34:56,4.3,-21.2787,7 stops away,2025-04-13,Sunday,17,2025-04-13 17:34:56
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5517,2025-04-13 11:29:15,2025-04-13 11:42:03,2025-04-13 11:48:34,12.8157,6.5015,3 stops away,2025-04-13,Sunday,11,2025-04-13 11:48:34
5 AV/UNION ST,308207,B63,MTA NYCT_406,2025-04-17 23:53:00,2025-04-17 23:58:53,2025-04-17 23:40:17,5.8989,-18.6071,8 stops away,2025-04-17,Thursday,23,2025-04-17 23:40:17
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5519,2025-04-14 08:25:57,2025-04-14 08:30:35,2025-04-14 07:50:08,4.6442,-40.458,Unknown,2025-04-14,Monday,8,2025-04-14 07:50:08
5 AV/UNION ST,308207,B63,MTA NYCT_373,2025-04-11 20:50:29,2025-04-11 21:09:53,2025-04-11 21:24:37,19.4065,14.7332,18 stops away,2025-04-11,Friday,20,2025-04-11 21:24:37
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5517,2025-04-10 09:03:37,2025-04-10 09:21:26,2025-04-10 09:28:33,17.8319,7.1066,2 stops away,2025-04-10,Thursday,9,2025-04-10 09:28:33
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5587,2025-04-07 16:32:58,2025-04-07 16:56:19,2025-04-07 16:27:47,23.3609,-28.542,6 stops away,2025-04-07,Monday,16,2025-04-07 16:27:47
5 AV/9 ST,308204,B63,MTA NYCT_403,2025-04-08 16:43:55,2025-04-08 17:07:16,2025-04-08 17:25:56,23.3578,18.6641,4 stops away,2025-04-08,Tuesday,16,2025-04-08 17:25:56
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_758,2025-04-16 06:05:26,2025-04-16 06:17:37,2025-04-16 06:36:52,12.1955,19.2395,19 stops away,2025-04-16,Wednesday,6,2025-04-16 06:36:52
W 86 ST/AMSTERDAM AV,401912,M86-SBS,MTA NYCT_5784,2025-04-11 08:45:20,2025-04-11 08:40:20,2025-04-11 08:43:30,-5.0,3.1793,13 stops away,2025-04-11,Friday,8,2025-04-11 08:43:30
5 AV/9 ST,308204,M86-SBS,MTA NYCT_5519,2025-04-12 20:59:04,2025-04-12 21:09:48,2025-04-12 20:48:44,10.7399,-21.058,Unknown,2025-04-12,Saturday,20,2025-04-12 20:48:44
W 86 ST/AMSTERDAM AV,401912,B63,MTA NYCT_431,2025-04-15 08:16:08,2025-04-15 08:36:03,2025-04-15 07:38:29,19.9199,-57.5696,3 stops away,2025-04-15,Tuesday,8,2025-04-15 07:38:29
5 AV/9 ST,308204,M86-SBS,MTA NYCT_6226,2025-04-09 13:34:45,2025-04-09 13:45:22,2025-04-09 13:38:30,10.6328,-6.8708,17 stops away,2025-04-09,Wednesday,13,2025-04-09 13:38:30
